id,age,sexe,ville,cp,freqDouche,tempsDouche,debitDouche,freqBain,rempBain,freqDents,eauDents,freqVaisselle,choixVaisselle,methVaisselle,couvVaisselle,freqMal,dateMal,ecoEau,plante,momentPlante,eauPlante,freqPlante,voiture,methVoiture,freqVoiture,piscine,freqPiscine,volumePiscine,etiquette,bouteille
588,32,homme,peronne,80200,7,5,moyen,0,oui,2,oui,3,lave-vaisselle,non,0,4,ancien,0,non,matin,robinet,0,oui,automatique,2,non,non,0,oui,robinet
589,21,homme,MEAULTE,80300,14,3,moyen,0,oui,1,non,7,main,oui,4,4,recent,0,oui,journée,pluie,6,oui,manuel,2,non,non,0,oui,robinet
590,28,homme,CHAULNES,80320,7,5,moyen,0,oui,2,non,3,main,oui,7,4,recent,0,non,matin,robinet,0,oui,automatique,4,non,non,0,non,bouteille
591,23,homme,Albert,80300,7,10,moyen,0,oui,2,oui,7,lave-vaisselle,non,0,4,recent,100,non,matin,pluie,0,oui,manuel,1,non,non,0,oui,robinet
592,26,homme,amiens,80000,7,10,fort,1,oui,2,oui,7,main,oui,8,4,ancien,0,oui,soir,robinet,30,oui,automatique,4,non,non,0,non,bouteille
593,31,femme,amiens,80000,7,15,faible,0,oui,3,non,3,main,oui,20,4,recent,0,non,matin,robinet,0,oui,automatique,1,non,non,0,non,bouteille
594,21,homme,amiens,80000,7,10,moyen,0,oui,1,non,2,main,oui,20,6,recent,0,non,matin,robinet,0,oui,manuel,2,non,non,0,non,robinet
595,29,femme,paris,75015,7,20,moyen,0,oui,2,oui,3,main,oui,8,10,recent,100,oui,soir,robinet,30,oui,automatique,1,non,non,0,non,robinet
596,26,homme,MEAULTE,80300,7,5,moyen,0,oui,1,non,21,lave-vaisselle,non,0,8,recent,0,non,matin,robinet,0,oui,manuel,1,non,non,0,oui,robinet
597,32,homme,CHAULNES,80320,7,10,fort,0,oui,2,non,3,main,oui,6,4,ancien,0,non,matin,robinet,0,oui,automatique,1,non,non,0,oui,robinet
